epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,400.378,1.59542,1.2285,1.22642,0.70628,0.60087,0.67945,0.36306,1.62874,1.2569,1.3083,8.0695e-06,8.0695e-06,8.0695e-06
41,409.424,1.59513,1.23294,1.22408,0.71834,0.60494,0.6832,0.3658,1.62535,1.25522,1.30779,8.02e-06,8.02e-06,8.02e-06
42,418.805,1.61271,1.21447,1.23111,0.7113,0.60569,0.68768,0.36801,1.62348,1.24981,1.30622,7.9705e-06,7.9705e-06,7.9705e-06
43,427.915,1.59683,1.22067,1.2182,0.70672,0.61684,0.69471,0.37069,1.62339,1.2517,1.30469,7.921e-06,7.921e-06,7.921e-06
44,437.399,1.56972,1.23773,1.22068,0.72817,0.62189,0.69684,0.37356,1.62208,1.2495,1.30533,7.8715e-06,7.8715e-06,7.8715e-06
45,446.68,1.59912,1.21436,1.22277,0.70156,0.62146,0.69762,0.37306,1.62721,1.25712,1.3098,7.822e-06,7.822e-06,7.822e-06
46,455.76,1.57977,1.19374,1.23283,0.71778,0.61477,0.69652,0.37155,1.62519,1.25569,1.30914,7.7725e-06,7.7725e-06,7.7725e-06
47,464.853,1.5832,1.20785,1.22867,0.71446,0.62828,0.69728,0.37249,1.62669,1.2497,1.31143,7.723e-06,7.723e-06,7.723e-06
48,474.555,1.5831,1.19923,1.21831,0.7166,0.62704,0.69428,0.36857,1.62747,1.25096,1.30855,7.6735e-06,7.6735e-06,7.6735e-06
49,483.772,1.60293,1.20789,1.23402,0.70438,0.62313,0.68745,0.36668,1.63415,1.25857,1.30901,7.624e-06,7.624e-06,7.624e-06
50,492.862,1.58413,1.19408,1.22636,0.6893,0.64317,0.68838,0.37059,1.62963,1.25242,1.30445,7.5745e-06,7.5745e-06,7.5745e-06
51,502.324,1.59147,1.20917,1.22826,0.69177,0.64515,0.69115,0.37488,1.62449,1.24317,1.30427,7.525e-06,7.525e-06,7.525e-06
52,511.651,1.59469,1.17739,1.22925,0.69718,0.63136,0.68962,0.37238,1.62463,1.2415,1.30408,7.4755e-06,7.4755e-06,7.4755e-06
53,520.632,1.59125,1.19437,1.2098,0.70711,0.62272,0.69275,0.37262,1.6237,1.23996,1.30162,7.426e-06,7.426e-06,7.426e-06
54,529.982,1.56561,1.18629,1.21536,0.71074,0.63051,0.69397,0.37261,1.62524,1.24436,1.30223,7.3765e-06,7.3765e-06,7.3765e-06
55,539.328,1.5964,1.18117,1.2252,0.70462,0.63815,0.69331,0.37374,1.62772,1.24402,1.30649,7.327e-06,7.327e-06,7.327e-06
56,549.059,1.58596,1.17136,1.21387,0.66492,0.65431,0.6905,0.37029,1.62586,1.24073,1.30597,7.2775e-06,7.2775e-06,7.2775e-06
57,557.704,1.56208,1.20702,1.21742,0.67692,0.64579,0.69234,0.36997,1.62409,1.23636,1.30455,7.228e-06,7.228e-06,7.228e-06
58,567.112,1.56288,1.19359,1.20276,0.65727,0.661,0.69349,0.36833,1.62249,1.23716,1.30185,7.1785e-06,7.1785e-06,7.1785e-06
59,576.723,1.58053,1.18604,1.2122,0.67909,0.6673,0.70148,0.37593,1.62531,1.23786,1.30215,7.129e-06,7.129e-06,7.129e-06
60,586.286,1.58903,1.18639,1.21855,0.66723,0.67693,0.70179,0.37796,1.6293,1.23858,1.30421,7.0795e-06,7.0795e-06,7.0795e-06
61,595.261,1.58479,1.19066,1.21775,0.67102,0.68116,0.70414,0.3792,1.62766,1.23562,1.30369,7.03e-06,7.03e-06,7.03e-06
62,604.528,1.57915,1.18709,1.2184,0.68215,0.65061,0.69952,0.37659,1.62833,1.23354,1.3051,6.9805e-06,6.9805e-06,6.9805e-06
63,613.788,1.5746,1.19048,1.21124,0.68787,0.643,0.69744,0.37271,1.6275,1.23424,1.30604,6.931e-06,6.931e-06,6.931e-06
64,623.713,1.58202,1.17067,1.20921,0.70606,0.63424,0.69598,0.3729,1.62664,1.23166,1.30596,6.8815e-06,6.8815e-06,6.8815e-06
65,632.484,1.56408,1.17183,1.20801,0.70552,0.64523,0.7002,0.37438,1.62608,1.23025,1.30732,6.832e-06,6.832e-06,6.832e-06
66,641.807,1.58346,1.17021,1.20379,0.69967,0.65822,0.70373,0.37753,1.62815,1.22877,1.30818,6.7825e-06,6.7825e-06,6.7825e-06
67,651.278,1.58456,1.1776,1.21034,0.71443,0.65376,0.70704,0.38102,1.62923,1.22731,1.30751,6.733e-06,6.733e-06,6.733e-06
68,660.755,1.58812,1.18246,1.21175,0.70043,0.66395,0.7041,0.38008,1.62979,1.22575,1.30767,6.6835e-06,6.6835e-06,6.6835e-06
69,669.767,1.57538,1.15825,1.2072,0.69009,0.68251,0.70799,0.37927,1.63124,1.22436,1.30758,6.634e-06,6.634e-06,6.634e-06
70,679.127,1.56581,1.15793,1.20841,0.70566,0.66793,0.70996,0.38101,1.63771,1.22451,1.31103,6.5845e-06,6.5845e-06,6.5845e-06
71,688.52,1.56518,1.17273,1.21208,0.69388,0.66734,0.7064,0.37761,1.63977,1.22531,1.31371,6.535e-06,6.535e-06,6.535e-06
72,697.843,1.57832,1.1689,1.20646,0.7062,0.65514,0.70511,0.37993,1.63012,1.22468,1.30802,6.4855e-06,6.4855e-06,6.4855e-06
73,706.838,1.56924,1.1571,1.20169,0.69406,0.66207,0.69946,0.37712,1.62755,1.22257,1.30375,6.436e-06,6.436e-06,6.436e-06
74,716.06,1.5577,1.15111,1.20539,0.69417,0.66037,0.70066,0.37797,1.62685,1.21951,1.30364,6.3865e-06,6.3865e-06,6.3865e-06
75,725.63,1.54859,1.16722,1.2058,0.68471,0.67155,0.70497,0.37953,1.6268,1.21514,1.3056,6.337e-06,6.337e-06,6.337e-06
76,734.789,1.5597,1.18679,1.23207,0.68056,0.66176,0.70705,0.38157,1.6305,1.21145,1.3089,6.2875e-06,6.2875e-06,6.2875e-06
77,744.151,1.57181,1.17583,1.21267,0.68867,0.67733,0.71219,0.38373,1.63259,1.21133,1.30965,6.238e-06,6.238e-06,6.238e-06
78,753.221,1.56365,1.16363,1.20909,0.69422,0.67204,0.71118,0.38348,1.62929,1.21654,1.30607,6.1885e-06,6.1885e-06,6.1885e-06
79,762.761,1.54035,1.16208,1.2174,0.70319,0.65911,0.7069,0.38266,1.62908,1.21872,1.30404,6.139e-06,6.139e-06,6.139e-06
